Team,Conference,Conference_Tier,Latitude,Longitude,City,State,Conf_Avg_NET,Conf_Tournament_Rate,Conf_Tourney_Teams_5yr,Conf_Avg_Tournament_Rate_5yr,Conf_Strength_Score,NET Rank,NET_Rank,Win_Pct,Season,RecordID
Cleveland St.,Horizon,Low-Major,34.7423781,-92.3448057,University Park,,221.2,0.091,3,0.089,36.8,317,317,0.26666666666666666,2025-26,2025-26-Cleveland St.
North Florida,ASUN,Low-Major,30.2689865,-81.5096561,1,,259.9,0.083,4,0.0816,25.74,337,337,0.16666666666666666,2025-26,2025-26-North Florida
Bowling Green,MAC,Low-Major,41.3795005,-83.629789,1001,,200.5,0.154,3,0.05700000000000001,42.71,157,157,0.5172413793103449,2025-26,2025-26-Bowling Green
Bryant,America East,Low-Major,41.9220915,-71.5371517,1150,,310.9,0.111,5,0.13140000000000002,11.17,354,354,0.2413793103448276,2025-26,2025-26-Bryant
Georgia,SEC,Power,33.9404278,-83.373049,South Milledge Drive,,46.4,0.625,34,0.5916,86.74,33,33,0.6875,2025-26,2025-26-Georgia
Villanova,Big East,Power,40.0367835,-75.3420185,East County Line Road,,67.5,0.273,19,0.487,80.71,35,35,0.75,2025-26,2025-26-Villanova
San Francisco,WCC,Mid-Major,37.7793627,-122.4514473,2130,,137.4,0.25,9,0.24100000000000002,60.74,119,119,0.5,2025-26,2025-26-San Francisco
Nevada,Mountain West,Mid-Major,36.1079411,-115.1439051,Las Vegas,,113.7,0.083,17,0.3812,67.51,70,70,0.6470588235294118,2025-26,2025-26-Nevada
American,Patriot,Low-Major,38.9377511,-77.0894676,4400,,280.7,0.1,5,0.1538,19.8,256,256,0.4666666666666667,2025-26,2025-26-American
Tarleton St.,WAC,Low-Major,32.214673,-98.2196882,1333,,181.4,0.143,2,0.045,48.17,230,230,0.35714285714285715,2025-26,2025-26-Tarleton St.
Miami (FL),ACC,Power,25.7172725,-80.2787069,Miller Road,,62.0,0.444,19,0.3154,82.29,32,32,0.7575757575757576,2025-26,2025-26-Miami (FL)
Northern Ky.,Horizon,Low-Major,39.0346853,-84.4659598,Grant Drive,,221.2,0.091,3,0.089,36.8,184,184,0.5483870967741935,2025-26,2025-26-Northern Ky.
Auburn,SEC,Power,32.5919529,-85.4959775,Auburn,,46.4,0.625,34,0.5916,86.74,38,38,0.5151515151515151,2025-26,2025-26-Auburn
Alabama A&M,SWAC,Low-Major,34.7842987,-86.5701304,4900,,315.8,0.083,3,0.0908,9.77,310,310,0.5,2025-26,2025-26-Alabama A&M
Campbell,CAA,Low-Major,35.408071,-78.7392468,143,,192.4,0.077,3,0.0756,45.03,200,200,0.4375,2025-26,2025-26-Campbell
Dartmouth,Ivy League,Low-Major,43.7046757,-72.2942089,I 91,,188.6,0.125,3,0.0822,46.11,265,265,0.36,2025-26,2025-26-Dartmouth
Gardner-Webb,Big South,Low-Major,35.2478295,-81.670238,110,,236.7,0.111,3,0.085,32.37,361,361,0.06666666666666667,2025-26,2025-26-Gardner-Webb
DePaul,Big East,Power,41.9245803,-87.6507223,2400,,67.5,0.273,19,0.487,80.71,102,102,0.5,2025-26,2025-26-DePaul
Jacksonville,ASUN,Low-Major,30.3537227,-81.6073061,Dolphin Drive,,259.9,0.083,4,0.0816,25.74,297,297,0.3333333333333333,2025-26,2025-26-Jacksonville
Northern Ariz.,Big Sky,Low-Major,35.1830867,-111.654961,West University Drive,,198.8,0.1,3,0.0708,43.2,315,315,0.2413793103448276,2025-26,2025-26-Northern Ariz.
Southern Utah,WAC,Low-Major,37.6748541,-113.0731048,351,,181.4,0.143,2,0.045,48.17,272,272,0.2413793103448276,2025-26,2025-26-Southern Utah
Navy,Patriot,Low-Major,38.9819343,-76.4821709,121,,280.7,0.1,5,0.1538,19.8,136,136,0.7741935483870968,2025-26,2025-26-Navy
Kansas City,Summit League,Low-Major,39.1068471,-94.561009,1750,,238.9,0.111,3,0.0786,31.74,358,358,0.03571428571428571,2025-26,2025-26-Kansas City
Boise St.,Mountain West,Mid-Major,43.6032821,-116.19941,West Rockney Street,,113.7,0.083,17,0.3812,67.51,60,60,0.6333333333333333,2025-26,2025-26-Boise St.
Maine,America East,Low-Major,44.9015188,-68.6617222,168,,310.9,0.111,5,0.13140000000000002,11.17,339,339,0.22580645161290322,2025-26,2025-26-Maine
Kansas St.,Big 12,Power,32.0033129,-102.0884082,Grafaland,,48.9,0.5,25,0.557,86.03,100,100,0.375,2025-26,2025-26-Kansas St.
Wofford,SoCon,Low-Major,34.9587,-81.9348,Spartanburg,SC,248.3,0.1,1,0.0222,29.06,245,245,0.5666666666666667,2025-26,2025-26-Wofford
Army West Point,Patriot,Low-Major,41.3926455,-73.9599242,845,,280.7,0.1,5,0.1538,19.8,336,336,0.3,2025-26,2025-26-Army West Point
South Carolina,SEC,Power,33.9928841,-81.0268676,Assembly Street,,46.4,0.625,34,0.5916,86.74,108,108,0.40625,2025-26,2025-26-South Carolina
SMU,ACC,Power,32.8418011,-96.7815281,6425,,62.0,0.444,19,0.3154,82.29,37,37,0.6060606060606061,2025-26,2025-26-SMU
Austin Peay,ASUN,Low-Major,36.5342965,-87.3543085,601,,259.9,0.083,4,0.0816,25.74,164,164,0.6896551724137931,2025-26,2025-26-Austin Peay
Marquette,Big East,Power,43.0374344,-87.9294774,1250,,67.5,0.273,19,0.487,80.71,93,93,0.375,2025-26,2025-26-Marquette
Mount St. Mary's,MAAC,Low-Major,39.6805605,-77.3465509,16300,,262.2,0.077,3,0.075,25.09,281,281,0.45161290322580644,2025-26,2025-26-Mount St. Mary's
