Team,Conference,Conference_Tier,Latitude,Longitude,City,State,Conf_Avg_NET,Conf_Tournament_Rate,Conf_Tourney_Teams_5yr,Conf_Avg_Tournament_Rate_5yr,Conf_Strength_Score,NET Rank,NET_Rank,Win_Pct,Season,RecordID,Conf_Tier_4,BidRate_Pct,Best_NET_Score,Avg_Q1_Wins,Avg_SOS,Tournament_Bids_2026,Total_Bids_5yr,BidRate_5yr_Pct,Tier_Norm_Strength,Tier_Norm_BidRate,Tier_Norm_Q1Wins,Tier_Norm_BestNET,Tier_Norm_Composite,Composite_Raw,Tier_Rank,Tier_Rank_Score,Tier_Strength_Rank,Strength_Amplified,Strength_Multiplied
Norfolk St.,MEAC,Low-Major,40.7453073,-74.1829578,Central Avenue,,330.9,0.125,5,0.1414,5.46,318,318,0.3928571428571428,2025-26,2025-26-Norfolk St.,Low-Major,12.5,42.0,0.0,273.1,1,5,14.14,0.0,100.0,0.0,28.29,59.25,40.66,6,64.29,15,25.0,546.0
Oral Roberts,Summit League,Low-Major,36.0508252,-95.9521355,Billy Joe Daugherty Circle,,238.9,0.111,3,0.0786,31.74,311,311,0.2333333333333333,2025-26,2025-26-Oral Roberts,Low-Major,11.1,70.57,0.0,238.6,1,3,7.86,66.41,70.83,0.0,77.07,81.54,53.49,4,78.57,6,2653.0,3174.0
West Ga.,ASUN,Low-Major,33.5757,-85.0988,Carrollton,GA,259.9,0.083,4,0.0816,25.74,298,298,0.4333333333333333,2025-26,2025-26-West Ga.,Low-Major,8.3,53.14,0.0,236.8,1,4,8.16,51.25,12.5,0.0,47.31,30.47,24.09,13,14.29,8,2053.0,2574.0
Furman,SoCon,Low-Major,34.9257744,-82.4385258,3300,,248.3,0.1,1,0.0222,29.06,186,186,0.6129032258064516,2025-26,2025-26-Furman,Low-Major,10.0,60.29,0.0,291.6,1,1,2.22,59.64,47.92,0.0,59.52,59.15,40.6,7,57.14,7,2385.0,2906.0
Hawaii,Big West,Low-Major,21.2982795,-157.8186932,2500,,192.0,0.091,1,0.025,45.14,101,101,0.7333333333333333,2025-26,2025-26-Hawaii,Mid-Major,9.1,71.14,0.09,221.9,1,1,2.5,40.1,24.1,20.0,33.78,36.29,28.21,5,33.33,5,999.0,4514.0
UIW,Southland,Low-Major,29.4688466,-98.4691039,East Hildebrand Avenue,,221.2,0.083,3,0.0802,36.8,282,282,0.3214285714285714,2025-26,2025-26-UIW,Low-Major,8.3,84.0,0.08,189.6,1,3,8.02,79.2,12.5,88.89,100.0,97.08,62.44,2,92.86,3,3159.0,3680.0
Buffalo,MAC,Low-Major,42.9335571,-78.8845343,1300,,200.5,0.154,3,0.057,42.71,195,195,0.5,2025-26,2025-26-Buffalo,Mid-Major,15.4,84.57,0.08,209.9,2,3,5.7,30.09,100.0,17.78,100.0,91.88,65.46,2,83.33,6,756.0,4271.0
UT Arlington,WAC,Low-Major,32.7315155,-97.1171533,500,,181.4,0.143,2,0.045,48.17,161,161,0.5333333333333333,2025-26,2025-26-UT Arlington,Mid-Major,14.3,75.71,0.0,164.1,1,2,4.5,52.57,86.75,0.0,56.31,72.0,52.14,4,50.0,2,1302.0,4817.0
Youngstown St.,Horizon,Low-Major,28.5724126,-81.1855099,Alafaya Palms Manufactured Home Community,,221.2,0.091,3,0.089,36.8,219,219,0.4137931034482758,2025-26,2025-26-Youngstown St.,Low-Major,9.1,63.71,0.09,241.9,1,3,8.9,79.2,29.17,100.0,65.36,100.0,64.12,1,100.0,3,3159.0,3680.0
East Carolina,American,Low-Major,35.6328512,-77.4852672,1001,,160.3,0.077,8,0.1528,54.2,267,267,0.3333333333333333,2025-26,2025-26-East Carolina,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
Portland,WCC,Mid-Major,45.5118121,-122.686121,1825,,137.4,0.25,9,0.241,60.74,222,222,0.40625,2025-26,2025-26-Portland,High-Major,25.0,98.29,1.08,101.2,3,9,24.1,49.14,100.0,35.38,100.0,100.0,73.67,1,100.0,3,679.0,6074.0
East Texas A&M,Southland,Low-Major,33.2399911,-95.9182528,2200,,221.2,0.083,3,0.0802,36.8,304,304,0.3,2025-26,2025-26-East Texas A&M,Low-Major,8.3,84.0,0.08,189.6,1,3,8.02,79.2,12.5,88.89,100.0,97.08,62.44,2,92.86,3,3159.0,3680.0
South Dakota,Summit League,Low-Major,42.7913704,-96.9254235,414,,238.9,0.111,3,0.0786,31.74,284,284,0.4482758620689655,2025-26,2025-26-South Dakota,Low-Major,11.1,70.57,0.0,238.6,1,3,7.86,66.41,70.83,0.0,77.07,81.54,53.49,4,78.57,6,2653.0,3174.0
Presbyterian,Big South,Low-Major,34.4627505,-81.8671771,Liberty Street,,236.7,0.111,3,0.085,32.37,260,260,0.4,2025-26,2025-26-Presbyterian,Low-Major,11.1,78.29,0.0,248.2,1,3,8.5,68.01,70.83,0.0,90.25,86.66,56.44,3,85.71,5,2716.0,3237.0
Loyola Maryland,Patriot,Low-Major,39.3483538,-76.6159318,4501,,280.7,0.1,5,0.1538,19.8,328,328,0.3333333333333333,2025-26,2025-26-Loyola Maryland,Low-Major,10.0,61.14,0.0,311.1,1,5,15.38,36.24,47.92,0.0,60.97,51.52,36.21,9,42.86,11,1459.0,1980.0
Massachusetts,MAC,Low-Major,42.3582529,-71.0966272,Dr. Paul Dudley White Path,,200.5,0.154,3,0.057,42.71,201,201,0.5,2025-26,2025-26-Massachusetts,Mid-Major,15.4,84.57,0.08,209.9,2,3,5.7,30.09,100.0,17.78,100.0,91.88,65.46,2,83.33,6,756.0,4271.0
Utah St.,Mountain West,Mid-Major,41.7526959,-111.808733,2000 North,,113.7,0.083,17,0.3812,67.51,26,26,0.8181818181818182,2025-26,2025-26-Utah St.,High-Major,8.3,92.57,1.92,87.8,1,17,38.12,100.0,3.47,100.0,48.7,75.95,55.95,2,66.67,1,1356.0,6751.0
Stonehill,NEC,Low-Major,42.0599777,-71.0793257,320,,304.0,0.1,4,0.1354,13.14,332,332,0.3225806451612903,2025-26,2025-26-Stonehill,Low-Major,10.0,43.43,0.0,297.4,1,4,13.54,19.41,47.92,0.0,30.73,35.17,26.8,12,21.43,12,793.0,1314.0
Kent St.,MAC,Low-Major,41.1441814,-81.3398329,Haymaker Parkway,,200.5,0.154,3,0.057,42.71,140,140,0.7096774193548387,2025-26,2025-26-Kent St.,Mid-Major,15.4,84.57,0.08,209.9,2,3,5.7,30.09,100.0,17.78,100.0,91.88,65.46,2,83.33,6,756.0,4271.0
Clemson,ACC,Power,34.6686916,-82.8374348,West Queen Street,,62.0,0.444,19,0.3154,82.29,34,34,0.7058823529411765,2025-26,2025-26-Clemson,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
Alabama St.,SWAC,Low-Major,32.751254,-117.1425131,Egyptian Quarter,,315.8,0.083,3,0.0908,9.77,324,324,0.2903225806451613,2025-26,2025-26-Alabama St.,Low-Major,8.3,25.43,0.0,229.5,1,3,9.08,10.89,12.5,0.0,0.0,0.0,6.55,15,0.0,14,456.0,977.0
Northern Colo.,Big Sky,Low-Major,40.4028503,-104.7017242,501,,198.8,0.1,3,0.0708,43.2,150,150,0.5862068965517241,2025-26,2025-26-Northern Colo.,Low-Major,10.0,63.43,0.0,212.4,1,3,7.08,95.38,47.92,0.0,64.88,73.42,48.82,5,71.43,2,3799.0,4320.0
William & Mary,CAA,Low-Major,37.2690934,-76.7220509,Tennis Court,,192.4,0.077,3,0.0756,45.03,129,129,0.6,2025-26,2025-26-William & Mary,Low-Major,7.7,74.86,0.0,242.3,1,3,7.56,100.0,0.0,0.0,84.39,52.68,36.88,8,50.0,1,3982.0,4503.0
UIC,MVC,Mid-Major,41.8748613,-87.6519866,1200,,141.1,0.091,5,0.1096,59.69,110,110,0.53125,2025-26,2025-26-UIC,Mid-Major,9.1,82.0,0.45,135.4,1,5,10.96,100.0,24.1,100.0,87.33,100.0,70.9,1,100.0,1,2454.0,5969.0
Abilene Christian,WAC,Low-Major,32.4699728,-99.7073595,1600,,181.4,0.143,2,0.045,48.17,248,248,0.3666666666666666,2025-26,2025-26-Abilene Christian,Mid-Major,14.3,75.71,0.0,164.1,1,2,4.5,52.57,86.75,0.0,56.31,72.0,52.14,4,50.0,2,1302.0,4817.0
St. John's (NY),Big East,Power,40.7255421,-73.7919066,Union Turnpike,,67.5,0.273,19,0.487,80.71,15,15,0.8235294117647058,2025-26,2025-26-St. John's (NY),Power,27.3,97.14,2.18,66.5,3,19,48.7,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,5,25.0,8071.0
Western Ky.,CUSA,Low-Major,36.984529,-86.457647,1906,,188.7,0.083,4,0.0954,46.09,160,160,0.5333333333333333,2025-26,2025-26-Western Ky.,Mid-Major,8.3,69.71,0.08,226.5,1,4,9.54,44.01,14.46,17.78,26.73,29.49,23.65,6,16.67,4,1094.0,4609.0
Kennesaw St.,CUSA,Low-Major,28.5899425,-81.1743505,College Heights,,188.7,0.083,4,0.0954,46.09,155,155,0.5806451612903226,2025-26,2025-26-Kennesaw St.,Mid-Major,8.3,69.71,0.08,226.5,1,4,9.54,44.01,14.46,17.78,26.73,29.49,23.65,6,16.67,4,1094.0,4609.0
Delaware St.,MEAC,Low-Major,32.7609057,-117.1524807,University Heights,,330.9,0.125,5,0.1414,5.46,362,362,0.1851851851851851,2025-26,2025-26-Delaware St.,Low-Major,12.5,42.0,0.0,273.1,1,5,14.14,0.0,100.0,0.0,28.29,59.25,40.66,6,64.29,15,25.0,546.0
Niagara,MAAC,Low-Major,43.1366031,-79.0348892,Monteagle Trail,,262.2,0.077,3,0.075,25.09,341,341,0.2413793103448276,2025-26,2025-26-Niagara,Low-Major,7.7,48.57,0.0,313.5,1,3,7.5,49.61,0.0,0.0,39.51,19.58,17.82,14,7.14,9,1988.0,2509.0
Hofstra,CAA,Low-Major,40.7169083,-73.6000225,Belmont Place,,192.4,0.077,3,0.0756,45.03,88,88,0.6875,2025-26,2025-26-Hofstra,Low-Major,7.7,74.86,0.0,242.3,1,3,7.56,100.0,0.0,0.0,84.39,52.68,36.88,8,50.0,1,3982.0,4503.0
Florida A&M,SWAC,Low-Major,30.4227425,-84.2875987,1601,,315.8,0.083,3,0.0908,9.77,312,312,0.4482758620689655,2025-26,2025-26-Florida A&M,Low-Major,8.3,25.43,0.0,229.5,1,3,9.08,10.89,12.5,0.0,0.0,0.0,6.55,15,0.0,14,456.0,977.0
Montana St.,Big Sky,Low-Major,43.0348354,-76.1137823,University Neighborhood,,198.8,0.1,3,0.0708,43.2,128,128,0.5172413793103449,2025-26,2025-26-Montana St.,Low-Major,10.0,63.43,0.0,212.4,1,3,7.08,95.38,47.92,0.0,64.88,73.42,48.82,5,71.43,2,3799.0,4320.0
Arkansas St.,Sun Belt,Low-Major,35.8441163,-90.6726325,2105,,226.1,0.071,4,0.0804,35.4,154,154,0.6,2025-26,2025-26-Arkansas St.,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
Stony Brook,CAA,Low-Major,40.9090809,-73.1205518,100,,192.4,0.077,3,0.0756,45.03,232,232,0.5,2025-26,2025-26-Stony Brook,Low-Major,7.7,74.86,0.0,242.3,1,3,7.56,100.0,0.0,0.0,84.39,52.68,36.88,8,50.0,1,3982.0,4503.0
LIU,NEC,Low-Major,40.6911022,-73.9803965,1,,304.0,0.1,4,0.1354,13.14,198,198,0.7058823529411765,2025-26,2025-26-LIU,Low-Major,10.0,43.43,0.0,297.4,1,4,13.54,19.41,47.92,0.0,30.73,35.17,26.8,12,21.43,12,793.0,1314.0
Arizona St.,Big 12,Power,32.7637331,-117.1370956,University Heights,,48.9,0.5,25,0.557,86.03,73,73,0.5151515151515151,2025-26,2025-26-Arizona St.,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
Idaho St.,Big Sky,Low-Major,46.7278986,-117.1670076,Washington State University,,198.8,0.1,3,0.0708,43.2,236,236,0.3333333333333333,2025-26,2025-26-Idaho St.,Low-Major,10.0,63.43,0.0,212.4,1,3,7.08,95.38,47.92,0.0,64.88,73.42,48.82,5,71.43,2,3799.0,4320.0
UNC Greensboro,SoCon,Low-Major,36.0683549,-79.8105812,1400,,248.3,0.1,1,0.0222,29.06,292,292,0.40625,2025-26,2025-26-UNC Greensboro,Low-Major,10.0,60.29,0.0,291.6,1,1,2.22,59.64,47.92,0.0,59.52,59.15,40.6,7,57.14,7,2385.0,2906.0
Utah,Big 12,Power,40.7628137,-111.8368719,201,,48.9,0.5,25,0.557,86.03,132,132,0.3125,2025-26,2025-26-Utah,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
Lafayette,Patriot,Low-Major,40.6986698,-75.209255,730,,280.7,0.1,5,0.1538,19.8,323,323,0.3225806451612903,2025-26,2025-26-Lafayette,Low-Major,10.0,61.14,0.0,311.1,1,5,15.38,36.24,47.92,0.0,60.97,51.52,36.21,9,42.86,11,1459.0,1980.0
Drexel,CAA,Low-Major,39.9569305,-75.1899265,3141,,192.4,0.077,3,0.0756,45.03,212,212,0.5,2025-26,2025-26-Drexel,Low-Major,7.7,74.86,0.0,242.3,1,3,7.56,100.0,0.0,0.0,84.39,52.68,36.88,8,50.0,1,3982.0,4503.0
George Washington,Atlantic 10,Mid-Major,38.899865,-77.0474485,Ward 2,,132.2,0.143,5,0.0838,62.23,91,91,0.53125,2025-26,2025-26-George Washington,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
UTSA,American,Low-Major,29.583,-98.6197,San Antonio,TX,160.3,0.077,8,0.1528,54.2,344,344,0.1071428571428571,2025-26,2025-26-UTSA,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
North Ala.,ASUN,Low-Major,34.8075226,-87.6816129,1,,259.9,0.083,4,0.0816,25.74,338,338,0.25,2025-26,2025-26-North Ala.,Low-Major,8.3,53.14,0.0,236.8,1,4,8.16,51.25,12.5,0.0,47.31,30.47,24.09,13,14.29,8,2053.0,2574.0
South Fla.,American,Low-Major,28.0599999,-82.4138362,4202,,160.3,0.077,8,0.1528,54.2,45,45,0.7419354838709677,2025-26,2025-26-South Fla.,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
Brown,Ivy League,Low-Major,41.8186395,-71.4088009,Camp Street,,188.6,0.125,3,0.0822,46.11,296,296,0.28,2025-26,2025-26-Brown,Mid-Major,12.5,81.43,0.12,206.1,1,3,8.22,44.09,65.06,26.67,84.52,76.51,55.16,3,66.67,3,1096.0,4611.0
Idaho,Big Sky,Low-Major,46.7237978,-117.0206648,875,,198.8,0.1,3,0.0708,43.2,144,144,0.5625,2025-26,2025-26-Idaho,Low-Major,10.0,63.43,0.0,212.4,1,3,7.08,95.38,47.92,0.0,64.88,73.42,48.82,5,71.43,2,3799.0,4320.0
Ohio St.,Big Ten,Power,40.0056982,-83.0286573,281,,55.7,0.5,32,0.5892,84.09,29,29,0.6363636363636364,2025-26,2025-26-Ohio St.,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Ga. Southern,Sun Belt,Low-Major,32.4279,-81.7842,Statesboro,GA,226.1,0.071,4,0.0804,35.4,220,220,0.5428571428571428,2025-26,2025-26-Ga. Southern,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
Indiana,Big Ten,Power,39.1802358,-86.5093526,Meadowood Connectors,,55.7,0.5,32,0.5892,84.09,41,41,0.5625,2025-26,2025-26-Indiana,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Saint Joseph's,Atlantic 10,Mid-Major,39.9965297,-75.2415117,North 54th Street,,132.2,0.143,5,0.0838,62.23,121,121,0.6451612903225806,2025-26,2025-26-Saint Joseph's,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
Monmouth,CAA,Low-Major,40.2794106,-74.0068022,400,,192.4,0.077,3,0.0756,45.03,168,168,0.5454545454545454,2025-26,2025-26-Monmouth,Low-Major,7.7,74.86,0.0,242.3,1,3,7.56,100.0,0.0,0.0,84.39,52.68,36.88,8,50.0,1,3982.0,4503.0
Southern U.,SWAC,Low-Major,30.5258157,-91.194946,E Street,,315.8,0.083,3,0.0908,9.77,279,279,0.4516129032258064,2025-26,2025-26-Southern U.,Low-Major,8.3,25.43,0.0,229.5,1,3,9.08,10.89,12.5,0.0,0.0,0.0,6.55,15,0.0,14,456.0,977.0
Louisiana Tech,CUSA,Low-Major,32.5261061,-92.6481217,305,,188.7,0.083,4,0.0954,46.09,209,209,0.5483870967741935,2025-26,2025-26-Louisiana Tech,Mid-Major,8.3,69.71,0.08,226.5,1,4,9.54,44.01,14.46,17.78,26.73,29.49,23.65,6,16.67,4,1094.0,4609.0
Oklahoma St.,Big 12,Power,36.1748847,-95.9912576,University Park,,48.9,0.5,25,0.557,86.03,75,75,0.5757575757575758,2025-26,2025-26-Oklahoma St.,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
Portland St.,Big Sky,Low-Major,45.5161924,-122.6807637,620,,198.8,0.1,3,0.0708,43.2,146,146,0.6071428571428571,2025-26,2025-26-Portland St.,Low-Major,10.0,63.43,0.0,212.4,1,3,7.08,95.38,47.92,0.0,64.88,73.42,48.82,5,71.43,2,3799.0,4320.0
Seattle U,WCC,Mid-Major,47.6095043,-122.3187983,East Seneca Street,,137.4,0.25,9,0.241,60.74,122,122,0.5806451612903226,2025-26,2025-26-Seattle U,High-Major,25.0,98.29,1.08,101.2,3,9,24.1,49.14,100.0,35.38,100.0,100.0,73.67,1,100.0,3,679.0,6074.0
Butler,Big East,Power,39.8393056,-86.1703166,West 46th Street,,67.5,0.273,19,0.487,80.71,84,84,0.5,2025-26,2025-26-Butler,Power,27.3,97.14,2.18,66.5,3,19,48.7,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,5,25.0,8071.0
Lamar University,Southland,Low-Major,30.0388947,-94.0758929,4400,,221.2,0.083,3,0.0802,36.8,251,251,0.3448275862068966,2025-26,2025-26-Lamar University,Low-Major,8.3,84.0,0.08,189.6,1,3,8.02,79.2,12.5,88.89,100.0,97.08,62.44,2,92.86,3,3159.0,3680.0
Michigan St.,Big Ten,Power,42.7023794,-84.4803869,426,,55.7,0.5,32,0.5892,84.09,11,11,0.78125,2025-26,2025-26-Michigan St.,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Longwood,Big South,Low-Major,37.3090314,-78.4016795,Georgia Street,,236.7,0.111,3,0.085,32.37,266,266,0.4482758620689655,2025-26,2025-26-Longwood,Low-Major,11.1,78.29,0.0,248.2,1,3,8.5,68.01,70.83,0.0,90.25,86.66,56.44,3,85.71,5,2716.0,3237.0
Mercer,SoCon,Low-Major,32.8289341,-83.6506702,Fall Line Freeway,,248.3,0.1,1,0.0222,29.06,182,182,0.5517241379310345,2025-26,2025-26-Mercer,Low-Major,10.0,60.29,0.0,291.6,1,1,2.22,59.64,47.92,0.0,59.52,59.15,40.6,7,57.14,7,2385.0,2906.0
Rhode Island,Atlantic 10,Mid-Major,41.8271038,-71.4063901,Providence County,,132.2,0.143,5,0.0838,62.23,151,151,0.5,2025-26,2025-26-Rhode Island,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
TCU,Big 12,Power,32.7080148,-97.3611939,West Berry Street,,48.9,0.5,25,0.557,86.03,39,39,0.6666666666666666,2025-26,2025-26-TCU,Power,50.0,99.14,5.62,30.3,8,25,55.7,88.23,64.49,100.0,77.82,89.06,80.78,2,75.0,2,557.0,8603.0
Denver,Summit League,Low-Major,39.6766157,-104.9623745,2199,,238.9,0.111,3,0.0786,31.74,241,241,0.4137931034482758,2025-26,2025-26-Denver,Low-Major,11.1,70.57,0.0,238.6,1,3,7.86,66.41,70.83,0.0,77.07,81.54,53.49,4,78.57,6,2653.0,3174.0
Eastern Ky.,ASUN,Low-Major,37.7341619,-84.3011984,Roy and Sue Kidd Drive,,259.9,0.083,4,0.0816,25.74,291,291,0.3,2025-26,2025-26-Eastern Ky.,Low-Major,8.3,53.14,0.0,236.8,1,4,8.16,51.25,12.5,0.0,47.31,30.47,24.09,13,14.29,8,2053.0,2574.0
McNeese,Southland,Low-Major,30.1751363,-93.2112786,Jefferson Drive,,221.2,0.083,3,0.0802,36.8,56,56,0.8387096774193549,2025-26,2025-26-McNeese,Low-Major,8.3,84.0,0.08,189.6,1,3,8.02,79.2,12.5,88.89,100.0,97.08,62.44,2,92.86,3,3159.0,3680.0
Cal Poly,Big West,Low-Major,34.0556686,-117.8239282,Pomona,,192.0,0.091,1,0.025,45.14,225,225,0.3870967741935484,2025-26,2025-26-Cal Poly,Mid-Major,9.1,71.14,0.09,221.9,1,1,2.5,40.1,24.1,20.0,33.78,36.29,28.21,5,33.33,5,999.0,4514.0
Charlotte,American,Low-Major,35.3064945,-80.7349705,9201,,160.3,0.077,8,0.1528,54.2,173,173,0.4848484848484848,2025-26,2025-26-Charlotte,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
Fresno St.,Mountain West,Mid-Major,36.8209963,-119.7372976,Fresno,,113.7,0.083,17,0.3812,67.51,153,153,0.3870967741935484,2025-26,2025-26-Fresno St.,High-Major,8.3,92.57,1.92,87.8,1,17,38.12,100.0,3.47,100.0,48.7,75.95,55.95,2,66.67,1,1356.0,6751.0
St. Bonaventure,Atlantic 10,Mid-Major,42.0767249,-78.4816526,Bonaventure Road,,132.2,0.143,5,0.0838,62.23,143,143,0.4848484848484848,2025-26,2025-26-St. Bonaventure,High-Major,14.3,91.43,0.93,120.9,2,5,8.38,60.33,38.15,23.85,38.48,53.05,39.08,3,33.33,2,828.0,6223.0
Western Mich.,MAC,Low-Major,42.2832928,-85.6102812,1903,,200.5,0.154,3,0.057,42.71,283,283,0.3103448275862069,2025-26,2025-26-Western Mich.,Mid-Major,15.4,84.57,0.08,209.9,2,3,5.7,30.09,100.0,17.78,100.0,91.88,65.46,2,83.33,6,756.0,4271.0
South Carolina St.,MEAC,Low-Major,33.9928841,-81.0268676,Huger Street,,330.9,0.125,5,0.1414,5.46,356,356,0.2666666666666666,2025-26,2025-26-South Carolina St.,Low-Major,12.5,42.0,0.0,273.1,1,5,14.14,0.0,100.0,0.0,28.29,59.25,40.66,6,64.29,15,25.0,546.0
Southern Miss.,Sun Belt,Low-Major,31.3286452,-89.3367312,118,,226.1,0.071,4,0.0804,35.4,214,214,0.5151515151515151,2025-26,2025-26-Southern Miss.,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
Louisiana,Sun Belt,Low-Major,30.4062005,-91.1854129,Iris Street,,226.1,0.071,4,0.0804,35.4,313,313,0.3333333333333333,2025-26,2025-26-Louisiana,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
Utah Valley,WAC,Low-Major,40.2794106,-111.7178868,800,,181.4,0.143,2,0.045,48.17,85,85,0.7333333333333333,2025-26,2025-26-Utah Valley,Mid-Major,14.3,75.71,0.0,164.1,1,2,4.5,52.57,86.75,0.0,56.31,72.0,52.14,4,50.0,2,1302.0,4817.0
Creighton,Big East,Power,41.2658566,-95.9450555,North 17th Street,,67.5,0.273,19,0.487,80.71,83,83,0.46875,2025-26,2025-26-Creighton,Power,27.3,97.14,2.18,66.5,3,19,48.7,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,5,25.0,8071.0
Tennessee Tech,OVC,Low-Major,36.1748736,-85.5089051,1,,275.6,0.091,2,0.0422,21.26,308,308,0.3571428571428571,2025-26,2025-26-Tennessee Tech,Low-Major,9.1,50.86,0.0,311.8,1,2,4.22,39.93,29.17,0.0,43.42,35.31,26.88,11,28.57,10,1605.0,2126.0
Wichita St.,American,Low-Major,29.7132371,-95.3507871,Oak Manor,,160.3,0.077,8,0.1528,54.2,74,74,0.6774193548387096,2025-26,2025-26-Wichita St.,High-Major,7.7,87.14,0.62,135.8,1,8,15.28,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.0,5420.0
Illinois,Big Ten,Power,40.0761545,-88.2233134,Champaign County,,55.7,0.5,32,0.5892,84.09,8,8,0.75,2025-26,2025-26-Illinois,Power,50.0,99.43,4.83,29.6,9,32,58.92,56.05,64.49,77.03,89.11,78.13,70.86,3,50.0,3,363.0,8409.0
Georgia St.,Sun Belt,Low-Major,32.7484304,-117.144992,Egyptian Quarter,,226.1,0.071,4,0.0804,35.4,307,307,0.2666666666666666,2025-26,2025-26-Georgia St.,Mid-Major,7.1,64.29,0.07,287.9,1,4,8.04,0.0,0.0,15.56,0.0,0.0,3.89,7,0.0,7,25.0,3540.0
Evansville,MVC,Mid-Major,37.9735131,-87.5322977,East Walnut Street,,141.1,0.091,5,0.1096,59.69,306,306,0.1666666666666666,2025-26,2025-26-Evansville,Mid-Major,9.1,82.0,0.45,135.4,1,5,10.96,100.0,24.1,100.0,87.33,100.0,70.9,1,100.0,1,2454.0,5969.0
Notre Dame,ACC,Power,41.7045678,-86.2382203,West Pokagon Street,,62.0,0.444,19,0.3154,82.29,94,94,0.4193548387096774,2025-26,2025-26-Notre Dame,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
Morehead St.,OVC,Low-Major,38.1867483,-83.4332396,Gevedon Place,,275.6,0.091,2,0.0422,21.26,264,264,0.5666666666666667,2025-26,2025-26-Morehead St.,Low-Major,9.1,50.86,0.0,311.8,1,2,4.22,39.93,29.17,0.0,43.42,35.31,26.88,11,28.57,10,1605.0,2126.0
Pittsburgh,ACC,Power,40.444153,-79.962461,4200,,62.0,0.444,19,0.3154,82.29,104,104,0.3939393939393939,2025-26,2025-26-Pittsburgh,Power,44.4,99.71,4.5,53.8,8,19,31.54,26.2,48.58,67.44,100.0,65.16,59.1,4,25.0,4,183.0,8229.0
Robert Morris,Horizon,Low-Major,40.5215586,-80.2115783,6001,,221.2,0.091,3,0.089,36.8,147,147,0.6451612903225806,2025-26,2025-26-Robert Morris,Low-Major,9.1,63.71,0.09,241.9,1,3,8.9,79.2,29.17,100.0,65.36,100.0,64.12,1,100.0,3,3159.0,3680.0
Belmont,MVC,Mid-Major,36.1327716,-86.7925822,Acklen Avenue,,141.1,0.091,5,0.1096,59.69,63,63,0.8064516129032258,2025-26,2025-26-Belmont,Mid-Major,9.1,82.0,0.45,135.4,1,5,10.96,100.0,24.1,100.0,87.33,100.0,70.9,1,100.0,1,2454.0,5969.0
